_id;nome;cod;casosAcumulado;obitosAcumulado
São Jorge do Ivaí;São Jorge do Ivaí;412530;2167;19
Queimadas;Queimadas;292580;2166;47
Anita Garibaldi;Anita Garibaldi;420100;2165;12
Dores de Campos;Dores de Campos;312300;2162;38
São Caetano de Odivelas;São Caetano de Odivelas;150710;2161;35
Mairi;Mairi;292010;2161;21
Araguaçu;Araguaçu;170200;2160;26
Flores;Flores;260560;2160;43
Jataúba;Jataúba;260800;2158;23
Vitorino;Vitorino;412870;2151;40
Novo Mundo;Novo Mundo;510626;2151;26
Cruzeta;Cruzeta;240300;2150;17
Limoeiro do Ajuru;Limoeiro do Ajuru;150400;2149;68
Jesuítas;Jesuítas;411275;2149;24
Roncador;Roncador;412250;2148;23
Soledade;Soledade;251610;2146;17
Palma Sola;Palma Sola;421200;2146;19
Brejinho;Brejinho;240180;2144;19
Camapuã;Camapuã;500260;2143;39
Edealina;Edealina;520735;2142;12
Paranaiguara;Paranaiguara;521630;2141;61
Mato Verde;Mato Verde;314100;2138;18
Laurentino;Laurentino;420950;2137;12
Brejo do Cruz;Brejo do Cruz;250280;2135;25
São José da Lagoa Tapada;São José da Lagoa Tapada;251420;2134;10
Ibiraiaras;Ibiraiaras;430990;2134;42
Amapá;Amapá;160010;2132;13
Olho d'Água das Flores;Olho d'Água das Flores;270570;2132;45
Lagoa Dourada;Lagoa Dourada;313740;2125;15
Delfinópolis;Delfinópolis;312120;2123;16
Vera Cruz do Oeste;Vera Cruz do Oeste;412855;2123;56
Nioaque;Nioaque;500580;2123;28
Eugenópolis;Eugenópolis;312490;2121;25
Rio Acima;Rio Acima;315480;2121;33
Faina;Faina;520753;2120;17
Brazópolis;Brazópolis;310890;2118;40
Uchoa;Uchoa;355560;2116;44
Borrazópolis;Borrazópolis;410330;2115;38
Icaraíma;Icaraíma;410990;2111;20
Juripiranga;Juripiranga;250790;2109;32
Cotriguaçu;Cotriguaçu;510337;2109;40
Parambu;Parambu;231030;2108;78
Santa Cruz da Conceição;Santa Cruz da Conceição;354620;2108;17
Iati;Iati;260650;2107;20
Mulungu;Mulungu;230910;2106;21
Teixeira Soares;Teixeira Soares;412700;2106;19
Monte Alegre;Monte Alegre;240780;2104;17
São Tomé;São Tomé;241290;2104;28
Jericó;Jericó;250740;2102;15
Ourolândia;Ourolândia;292335;2102;16
Bananeiras;Bananeiras;250150;2100;29
Martinópole;Martinópole;230790;2099;27
Salto Grande;Salto Grande;354540;2099;19
Constantina;Constantina;430580;2099;20
Ipaumirim;Ipaumirim;230570;2097;26
Icém;Icém;351980;2097;40
Dois Córregos;Dois Córregos;351410;2096;46
Redentora;Redentora;431540;2093;34
Inocência;Inocência;500440;2093;13
Fagundes;Fagundes;250610;2092;25
Carlópolis;Carlópolis;410470;2092;55
Lontras;Lontras;420990;2092;28
Trombudo Central;Trombudo Central;421860;2091;29
Inconfidentes;Inconfidentes;313060;2087;12
Bujaru;Bujaru;150190;2086;43
Malacacheta;Malacacheta;313920;2085;30
Glorinha;Glorinha;430905;2084;36
Felipe Guerra;Felipe Guerra;240370;2080;19
Tenente Ananias;Tenente Ananias;241410;2080;30
Simplício Mendes;Simplício Mendes;221080;2078;55
Pindobaçu;Pindobaçu;292460;2078;34
Retirolândia;Retirolândia;292610;2077;15
Salinas da Margarida;Salinas da Margarida;292730;2077;24
Glória;Glória;291140;2075;26
Carmo da Cachoeira;Carmo da Cachoeira;311390;2075;26
Canutama;Canutama;130090;2073;11
Bom Jesus;Bom Jesus;430230;2073;31
Lajes;Lajes;240670;2072;18
Iguaracy;Iguaracy;260690;2072;36
Ponte Alta do Tocantins;Ponte Alta do Tocantins;171790;2071;19
Ibipitanga;Ibipitanga;291250;2071;26
Ipubi;Ipubi;260730;2068;68
Bernardino de Campos;Bernardino de Campos;350630;2068;42
Triunfo;Triunfo;261570;2066;32
Cairu;Cairu;290540;2065;19
Rio das Antas;Rio das Antas;421440;2065;21
Pradópolis;Pradópolis;354090;2064;49
Cocal;Cocal;220270;2060;54
Meleiro;Meleiro;421080;2058;25
Centralina;Centralina;311580;2057;54
Moema;Moema;314240;2057;15
Eldorado;Eldorado;500375;2056;56
Tanque Novo;Tanque Novo;293105;2052;18
Manga;Manga;313930;2052;23
Palminópolis;Palminópolis;521590;2052;17
Fazenda Nova;Fazenda Nova;520760;2049;18
Humberto de Campos;Humberto de Campos;210500;2047;11
Ouvidor;Ouvidor;521550;2047;30
Iepê;Iepê;351990;2046;36
Porteiras;Porteiras;231110;2045;31
Trairão;Trairão;150805;2044;30
Ipiguá;Ipiguá;352115;2044;33
Nossa Senhora do Livramento;Nossa Senhora do Livramento;510610;2042;46
Governador Mangabeira;Governador Mangabeira;291160;2040;24
Caridade;Caridade;230300;2039;55
Pedro Osório;Pedro Osório;431420;2037;34
Araçu;Araçu;520160;2037;23
Piranguinho;Piranguinho;315100;2035;50
Cocalinho;Cocalinho;510310;2034;18
Serra do Navio;Serra do Navio;160005;2031;5
Monte Santo;Monte Santo;292150;2031;69
Ivaté;Ivaté;411155;2030;7
Dom Feliciano;Dom Feliciano;430650;2029;30
Terra Santa;Terra Santa;150797;2025;63
Cantagalo;Cantagalo;410445;2022;40
Adrianópolis;Adrianópolis;410020;2020;31
Santa Maria de Itabira;Santa Maria de Itabira;315800;2019;45
Neópolis;Neópolis;280440;2017;45
Catuípe;Catuípe;430500;2014;34
Maurilândia;Maurilândia;521300;2014;36
Pedralva;Pedralva;314910;2012;20
Graça;Graça;230465;2011;21
São João do Sul;São João do Sul;421640;2010;19
Vale do Paraíso;Vale do Paraíso;110180;2009;29
Coribe;Coribe;290910;2008;23
Utinga;Utinga;293280;2004;19
Itiquira;Itiquira;510460;2003;19
Upanema;Upanema;241460;2000;24
Desterro de Entre Rios;Desterro de Entre Rios;312140;2000;17
Santa Maria da Boa Vista;Santa Maria da Boa Vista;261260;1998;36
Avanhandava;Avanhandava;350440;1997;50
Altinho;Altinho;260080;1995;30
Japaratuba;Japaratuba;280330;1995;60
Monte Castelo;Monte Castelo;421110;1995;27
Triunfo;Triunfo;251680;1993;23
Medina;Medina;314140;1993;37
Buriti Alegre;Buriti Alegre;520390;1993;41
Lucena;Lucena;250860;1992;20
João Alfredo;João Alfredo;260810;1991;55
Croatá;Croatá;230423;1990;18
Mauá da Serra;Mauá da Serra;411575;1987;33
Cunha Porã;Cunha Porã;420470;1987;30
Riachão das Neves;Riachão das Neves;292620;1984;47
Barreiros;Barreiros;260140;1982;69
Messias;Messias;270520;1981;34
Córrego Fundo;Córrego Fundo;311995;1980;13
Sanclerlândia;Sanclerlândia;521900;1978;39
Paulista;Paulista;251090;1977;12
Dona Euzébia;Dona Euzébia;312290;1975;22
Sertaneja;Sertaneja;412640;1973;21
Mostardas;Mostardas;431250;1973;36
Três Fronteiras;Três Fronteiras;355490;1971;39
Estação;Estação;430755;1969;21
Jandaia;Jandaia;521170;1969;27
Mirabela;Mirabela;314200;1967;22
Poloni;Poloni;353990;1963;25
Itariri;Itariri;352330;1961;55
Floraí;Floraí;410780;1961;14
Morada Nova de Minas;Morada Nova de Minas;314350;1958;12
Chaval;Chaval;230390;1957;27
Piranhas;Piranhas;270710;1955;28
São Sebastião da Amoreira;São Sebastião da Amoreira;412600;1954;29
Ametista do Sul;Ametista do Sul;430064;1954;30
Iapu;Iapu;312930;1953;37
Pé de Serra;Pé de Serra;292405;1952;11
Rio Pardo de Minas;Rio Pardo de Minas;315560;1951;11
Água Branca;Água Branca;220020;1950;78
Ibirapuã;Ibirapuã;291280;1950;19
Moreilândia;Moreilândia;261430;1949;14
Panelas;Panelas;261020;1948;35
Abadia dos Dourados;Abadia dos Dourados;310010;1948;23
Comendador Levy Gasparian;Comendador Levy Gasparian;330095;1948;34
Vicentina;Vicentina;500840;1948;34
Igarapé Grande;Igarapé Grande;210520;1945;16
Santa Rita de Caldas;Santa Rita de Caldas;315920;1942;38
Sapucaí-Mirim;Sapucaí-Mirim;316540;1940;7
Corumbá de Goiás;Corumbá de Goiás;520580;1938;42
